Date,Open,High,Low,Close,Adj Close,Volume
2020-01-24,215.0,225.75,215.0,225.75,225.75,103
2020-01-27,225.75,225.75,225.75,225.75,225.75,0
2020-01-28,248.85000610351562,248.85000610351562,248.85000610351562,248.85000610351562,248.85000610351562,26
2020-01-29,261.25,261.25,261.25,261.25,261.25,3696
2020-01-30,274.29998779296875,274.29998779296875,274.29998779296875,274.29998779296875,274.29998779296875,1150
2020-01-31,288.0,288.0,278.04998779296875,288.0,288.0,3377
2020-02-03,297.5,297.5,273.25,273.25,273.25,363
2020-02-04,259.6000061035156,275.0,259.6000061035156,274.25,274.25,2103
2020-02-05,267.0,280.0,267.0,272.95001220703125,272.95001220703125,1711
2020-02-06,283.0,283.0,260.0,263.0,263.0,3063
2020-02-07,263.0,267.0,244.60000610351562,251.0,251.0,1677
2020-02-10,236.3000030517578,258.0,236.3000030517578,250.0500030517578,250.0500030517578,397
2020-02-11,250.0500030517578,250.0500030517578,242.0,245.0,245.0,417
2020-02-12,245.10000610351562,256.8999938964844,245.0500030517578,256.8999938964844,256.8999938964844,122
2020-02-13,245.0500030517578,245.0500030517578,213.0,229.8000030517578,229.8000030517578,2060
2020-02-14,237.89999389648438,237.89999389648438,218.0,227.75,227.75,440
2020-02-17,215.5,226.6999969482422,186.8000030517578,212.35000610351562,212.35000610351562,1503
2020-02-18,212.35000610351562,218.0,212.0,212.0,212.0,747
2020-02-19,210.8000030517578,221.0,204.4499969482422,217.5500030517578,217.5500030517578,1454
2020-02-20,218.89999389648438,238.5500030517578,216.0,221.0,221.0,1309
2020-02-24,222.39999389648438,231.0,219.0,220.9499969482422,220.9499969482422,216
2020-03-02,208.0,212.0,200.10000610351562,200.1999969482422,200.1999969482422,128
2020-03-03,220.0,220.0,200.0500030517578,208.64999389648438,208.64999389648438,1428
2020-03-04,219.9499969482422,219.9499969482422,171.10000610351562,182.89999389648438,182.89999389648438,2940
2020-03-05,190.0,204.0,185.0,197.1999969482422,197.1999969482422,275
2020-03-06,190.0,204.0,172.14999389648438,199.89999389648438,199.89999389648438,1428
2020-03-09,199.0,217.14999389648438,181.0500030517578,190.0,190.0,1270
2020-03-11,180.5500030517578,189.0,180.0,184.0,184.0,1487
2020-03-12,180.0,180.0,160.0,163.39999389648438,163.39999389648438,4683
2020-03-27,152.5,152.5,118.0,127.30000305175781,127.30000305175781,2247
2020-03-30,133.5,149.0,123.05000305175781,124.55000305175781,124.55000305175781,2037
2020-03-31,138.89999389648438,138.89999389648438,125.05000305175781,137.0,137.0,500
2020-04-01,137.0,137.0,125.94999694824219,127.19999694824219,127.19999694824219,250
2020-04-03,135.0,135.0,126.5,126.5,126.5,629
2020-04-07,140.0,140.0,132.0500030517578,139.14999389648438,139.14999389648438,1769
2020-04-08,140.0,147.0,136.3000030517578,138.0,138.0,1729
2020-04-09,146.89999389648438,165.60000610351562,140.0,165.60000610351562,165.60000610351562,3689
2020-04-13,166.89999389648438,191.25,166.89999389648438,172.14999389648438,172.14999389648438,3414
2020-04-15,165.0500030517578,184.9499969482422,163.0,169.5500030517578,169.5500030517578,2526
2020-04-16,180.0,180.0,164.0,164.4499969482422,164.4499969482422,2763
2020-04-17,161.0,169.9499969482422,161.0,163.0,163.0,3314
2020-04-20,155.0500030517578,169.75,145.25,159.75,159.75,1817
2020-04-21,155.0,167.5500030517578,148.5,152.60000610351562,152.60000610351562,2356
2020-04-22,160.0,160.0,150.0,153.10000610351562,153.10000610351562,801
2020-04-23,151.5,170.10000610351562,150.0500030517578,153.5500030517578,153.5500030517578,1384
2020-04-24,153.64999389648438,159.89999389648438,148.60000610351562,152.39999389648438,152.39999389648438,957
2020-04-27,154.9499969482422,168.85000610351562,152.60000610351562,155.60000610351562,155.60000610351562,1000
2020-04-28,164.9499969482422,164.9499969482422,151.0500030517578,152.14999389648438,152.14999389648438,546
2020-04-29,160.9499969482422,160.9499969482422,152.25,154.1999969482422,154.1999969482422,400
2023-03-31,65.69999694824219,69.75,64.0999984741211,67.9000015258789,67.9000015258789,172697
